Country Name,Capital City,Region,Population Size,Number of Currencies,Number of Languages
"{'common': 'French Polynesia', 'official': 'French Polynesia', 'nativeName': {'fra': {'official': 'Polynésie française', 'common': 'Polynésie française'}}}",['Papeetē'],Oceania,280904,1,1
"{'common': 'Saint Martin', 'official': 'Saint Martin', 'nativeName': {'fra': {'official': 'Saint-Martin', 'common': 'Saint-Martin'}}}",['Marigot'],Americas,38659,1,1
"{'common': 'Venezuela', 'official': 'Bolivarian Republic of Venezuela', 'nativeName': {'spa': {'official': 'República Bolivariana de Venezuela', 'common': 'Venezuela'}}}",['Caracas'],Americas,28435943,1,1
"{'common': 'Réunion', 'official': 'Réunion Island', 'nativeName': {'fra': {'official': 'Ile de la Réunion', 'common': 'La Réunion'}}}",['Saint-Denis'],Africa,840974,1,1
"{'common': 'El Salvador', 'official': 'Republic of El Salvador', 'nativeName': {'spa': {'official': 'República de El Salvador', 'common': 'El Salvador'}}}",['San Salvador'],Americas,6486201,1,1
"{'common': 'Dominica', 'official': 'Commonwealth of Dominica', 'nativeName': {'eng': {'official': 'Commonwealth of Dominica', 'common': 'Dominica'}}}",['Roseau'],Americas,71991,1,1
"{'common': 'Gibraltar', 'official': 'Gibraltar', 'nativeName': {'eng': {'official': 'Gibraltar', 'common': 'Gibraltar'}}}",['Gibraltar'],Europe,33691,1,1
"{'common': 'Kenya', 'official': 'Republic of Kenya', 'nativeName': {'eng': {'official': 'Republic of Kenya', 'common': 'Kenya'}, 'swa': {'official': 'Republic of Kenya', 'common': 'Kenya'}}}",['Nairobi'],Africa,53771300,1,2
"{'common': 'Brazil', 'official': 'Federative Republic of Brazil', 'nativeName': {'por': {'official': 'República Federativa do Brasil', 'common': 'Brasil'}}}",['Brasília'],Americas,212559409,1,1
"{'common': 'Maldives', 'official': 'Republic of the Maldives', 'nativeName': {'div': {'official': 'ދިވެހިރާއްޖޭގެ ޖުމްހޫރިއްޔާ', 'common': 'ދިވެހިރާއްޖޭގެ'}}}",['Malé'],Asia,540542,1,1
"{'common': 'United States', 'official': 'United States of America', 'nativeName': {'eng': {'official': 'United States of America', 'common': 'United States'}}}","['Washington, D.C.']",Americas,329484123,1,1
